model,calibration,selection_score,threshold,precision,recall,f1,roc_auc,pr_auc,brier,ece,false_positive_rate,true_negatives,false_positives,false_negatives,true_positives
random_forest,isotonic,0.594950487212861,0.16838383838383839,0.5,0.2,0.28571428571428575,0.7786259541984732,0.18225806451612903,0.03108419838523644,6.530723674265627e-18,0.007633587786259542,130,1,4,1
random_forest,platt,0.5930745471053621,0.07929292929292929,0.5,0.2,0.28571428571428575,0.6358778625954198,0.17922827651064507,0.03247445281652045,0.00568588762670516,0.007633587786259542,130,1,4,1
random_forest,uncalibrated,0.5784027431786386,0.2673737373737374,0.5,0.2,0.28571428571428575,0.6358778625954198,0.17922827651064507,0.03967768903302671,0.06437310333359934,0.007633587786259542,130,1,4,1
logistic_regression,isotonic,0.18390581032418019,0.06444444444444444,0.15384615384615385,0.4,0.2222222222222222,0.8274809160305344,0.10992555831265509,0.03315172222735248,5.306212985340821e-18,0.08396946564885496,120,11,3,2
logistic_regression,platt,0.1797007557709946,0.07434343434343434,0.15384615384615385,0.4,0.2222222222222222,0.7396946564885497,0.09180982765314563,0.03497905607160299,0.005950779817036577,0.08396946564885496,120,11,3,2
logistic_regression,uncalibrated,0.15347390799809113,0.6385858585858586,0.15384615384615385,0.4,0.2222222222222222,0.7396946564885497,0.09180982765314563,0.09833755225523115,0.11085817090865041,0.08396946564885496,120,11,3,2
