feature,importance
total km Z3-4.1,-0.0009476565745915599
strength training.2_roll7_mean,-0.0009540459540459568
perceived exertion.2_roll7_mean,-0.0009822894675111439
max exertion.2,-0.0011891693212448095
perceived exertion.1_roll3_mean,-0.0017458352715277515
Athlete ID,-0.0495127016323771
perceived recovery.1_change_rate,-0.04968671679197997
perceived exertion.1_lag_1,-0.04976270714450912
perceived exertion_change_rate,-0.04981203007518799
strength training.2_roll3_std,-0.04993962178172706
perceived exertion.1_roll7_std,-0.04993962178172706
perceived trainingSuccess.1_change_rate,-0.05000000000000001
perceived trainingSuccess.1_roll3_std,-0.05000000000000001
Date,-0.05000000000000001
nr. days with interval session.1,-0.05000000000000001
strength training.6,-0.05000000000000001
nr. sessions.4,-0.05000000000000001
perceived exertion.2_lag_1,-0.05000227842333107
"nr. tough sessions (effort in Z5, T1 or T2).2",-0.05006493506493507
nr. days with interval session,-0.050064935064935076
perceived trainingSuccess_roll7_std,-0.05008128204820326
perceived exertion.1_roll3_std,-0.050132148553201195
perceived trainingSuccess.1_lag_1,-0.05013214855320121
perceived exertion.1_roll7_mean,-0.05020189362294626
"nr. tough sessions (effort in Z5, T1 or T2).1",-0.05025974025974027
perceived recovery.3,-0.050262145262145265
strength training_change_rate,-0.05032467532467534
rel total kms week 0_1,-0.05032467532467534
perceived exertion.2_roll3_std,-0.05033416875522138
max km Z5-T1-T2 one day,-0.050336709889837995
perceived recovery_roll7_std,-0.05034165602685962
perceived exertion.5,-0.05046176046176045
total hours alternative training.1,-0.05051020408163267
perceived trainingSuccess.2_roll7_std,-0.05052669552669552
perceived trainingSuccess.1_roll7_std,-0.050558441558441566
perceived recovery.1_roll3_std,-0.05073902687110234
perceived recovery_lag_1,-0.050940900469202355
perceived trainingSuccess.1_roll3_mean,-0.05100371057513917
perceived trainingSuccess.2_roll3_mean,-0.051042785535266755
perceived recovery.1_lag_1,-0.051382334646485596
perceived exertion.2_change_rate,-0.0516845199618309
max exertion.1,-0.05168526474917453
perceived exertion_roll3_mean,-0.051822991822991826
perceived recovery.6,-0.09762508325008326
perceived recovery.2,-0.0980686763952893
perceived exertion.1,-0.09886602098466508
total km.2,-0.09888368462138955
nr. sessions.2,-0.09928584618282907
perceived recovery.1,-0.09950522858871318
perceived recovery.4,-0.09956993594447838
perceived trainingSuccess.5,-0.0995819466699536
max km one day,-0.09968887736582839
