iter	Logloss
0	0.5970294323
1	0.5464774421
2	0.5072233355
3	0.476927534
4	0.4540524881
5	0.4356206481
6	0.4210165424
7	0.409162701
8	0.4000341795
9	0.3928131961
10	0.3870295821
11	0.3825915446
12	0.378844431
13	0.375775862
14	0.3682418041
15	0.3665793467
16	0.3648517427
17	0.3637031532
18	0.3627300723
19	0.3616979108
20	0.3609489275
21	0.357934673
22	0.3570614627
23	0.3561149975
24	0.3556087429
25	0.3552187615
26	0.354844533
27	0.3540355407
28	0.353546122
29	0.3530801313
30	0.3523651295
31	0.3520947948
32	0.3512885879
33	0.3509809294
34	0.3497549998
35	0.3492744633
36	0.3488597542
37	0.348506292
38	0.3481230574
39	0.3475748367
40	0.3469340183
41	0.3464475397
42	0.3461817855
43	0.3458741889
44	0.3454483074
45	0.3451786845
46	0.3445849696
47	0.3436478508
48	0.3433711408
49	0.3430839083
50	0.3428366302
51	0.3425054819
52	0.3421760667
53	0.3419963181
54	0.3418232235
55	0.3413585945
56	0.3410785421
57	0.3399185635
58	0.3396942182
59	0.3394076666
60	0.3385037864
61	0.337295683
62	0.3370993771
63	0.3368817786
64	0.3366022213
65	0.3363440803
66	0.3361656007
67	0.3360332651
68	0.3357215215
69	0.3354882631
70	0.3353174586
71	0.3351251759
72	0.3349439728
73	0.3347951727
74	0.3343694769
75	0.334090291
76	0.3339392626
77	0.3336894467
78	0.3335406466
79	0.3333037054
80	0.3330539205
81	0.3329538023
82	0.3324118331
83	0.3322501585
84	0.3320880196
85	0.3319265306
86	0.3317384569
87	0.3315696951
88	0.3314238041
89	0.3312775727
90	0.3311080372
91	0.3308908101
92	0.330791187
93	0.3305965523
94	0.3303743115
95	0.3301805743
96	0.3300059631
97	0.3297673816
98	0.3296119585
99	0.3294885361
100	0.3285648799
101	0.3284373723
102	0.328289872
103	0.3281834713
104	0.3280402728
105	0.3278632168
106	0.3277025325
107	0.32752037
108	0.3272975102
109	0.3271510312
110	0.3270147962
111	0.326801809
112	0.3266521424
113	0.3265277915
114	0.3262731787
115	0.3261073569
116	0.325932034
117	0.3258068476
118	0.3255344084
119	0.3252574199
120	0.3250014762
121	0.3247961024
122	0.3246983053
123	0.3242943353
124	0.3241585335
125	0.3239765876
126	0.3238329559
127	0.3236573235
128	0.323519541
129	0.3234163589
130	0.3231109287
131	0.3229674208
132	0.3228692833
133	0.3227441588
134	0.3226499827
135	0.3225402704
136	0.3223738916
137	0.322183342
138	0.3219927615
139	0.321863397
140	0.3216946352
141	0.321602285
142	0.3214922014
143	0.3212537127
144	0.3211175086
145	0.3208203417
146	0.3204363644
147	0.3202356328
148	0.3201132007
149	0.3200163321
150	0.3198982329
151	0.3197499898
152	0.3193926282
153	0.3187136193
154	0.3185695853
155	0.3184804538
156	0.3183156533
157	0.3182165873
158	0.3179621602
159	0.3177513085
160	0.3175651536
161	0.3173307501
162	0.3170023871
163	0.3168731774
164	0.3167542735
165	0.3165463309
166	0.3163418855
167	0.3162292331
168	0.3160795974
169	0.3159485308
170	0.3158365283
171	0.3156864903
172	0.3155310363
173	0.3150271647
174	0.3149470701
175	0.3148456211
176	0.3146847511
177	0.3145248405
178	0.314412931
179	0.3142399601
180	0.3141187351
181	0.3140165433
182	0.3138373828
183	0.3137881438
184	0.31367218
185	0.3135647889
186	0.3134298227
187	0.313297611
188	0.3131919221
189	0.3131275184
190	0.3130442051
191	0.3127916349
192	0.3126013329
193	0.3124639838
194	0.3123299151
195	0.3122276614
196	0.3121521472
197	0.3120679365
198	0.3119592456
199	0.3118417963
200	0.3116935223
201	0.3116051645
202	0.3113637357
203	0.3112460697
204	0.3111406593
205	0.3109129407
206	0.3108299369
207	0.3107361941
208	0.3105648326
209	0.3104737513
210	0.3103351333
211	0.3102559981
212	0.3100766828
213	0.3099766574
214	0.3098036866
215	0.3097526836
216	0.3096638306
217	0.3095549849
218	0.3094106414
219	0.3093199934
220	0.3091231613
221	0.3090262617
222	0.3089519236
223	0.3088542503
224	0.308728352
225	0.3086331237
226	0.3085389476
227	0.3082526745
228	0.3078436599
229	0.3077138311
230	0.3076354387
231	0.3074899811
232	0.3074085867
233	0.3073027739
234	0.3067461043
235	0.3066221558
236	0.3065312912
237	0.306256469
238	0.3061971718
239	0.3061045121
240	0.3056396975
241	0.3055337919
242	0.305471307
243	0.3053924813
244	0.3052073787
245	0.3051406229
246	0.3049861592
247	0.3049219412
248	0.3048402064
249	0.3047740696
250	0.3047053021
251	0.3046169443
252	0.3044762218
253	0.3043791984
254	0.3043067481
255	0.3042112412
256	0.3041387909
257	0.3040616055
258	0.3039723811
259	0.3039015401
260	0.3037922921
261	0.3036559333
262	0.3035727439
263	0.3033699697
264	0.3031520308
265	0.3030886174
266	0.3029392912
267	0.3028849766
268	0.3027391785
269	0.3026305805
270	0.3025529618
271	0.3024233806
272	0.3023017842
273	0.3022139525
274	0.3020738799
275	0.3019544189
276	0.3018685679
277	0.3017965818
278	0.3017062433
279	0.301651217
280	0.3015269281
281	0.3014166588
282	0.3013572377
283	0.3012080353
284	0.3011128069
285	0.3010062515
286	0.3008760823
287	0.300764637
288	0.3005444698
289	0.3004582474
290	0.3001222711
291	0.3000440025
292	0.2999868098
293	0.29991764
294	0.29979821
295	0.2996724355
296	0.2996127669
297	0.2995534387
298	0.2994716111
299	0.2994060313
300	0.2992445114
301	0.2992060115
302	0.2991350467
303	0.2988821051
304	0.2987953257
305	0.298717738
306	0.2986430594
307	0.2985804507
308	0.2985116523
309	0.2984469081
310	0.2982016108
311	0.2980567411
312	0.2979671144
313	0.2978823466
314	0.2978259276
315	0.2977053835
316	0.2976272386
317	0.2975407068
318	0.2974926748
319	0.2972946357
320	0.2971521491
321	0.2970867241
322	0.2970325953
323	0.2969317962
324	0.296859284
325	0.296779468
326	0.2967009518
327	0.296631782
328	0.2965808718
329	0.2964620917
330	0.2963503678
331	0.2962760915
332	0.2962098928
333	0.2961665341
334	0.2960768145
335	0.2959775319
336	0.2958888956
337	0.295649138
338	0.2955688268
339	0.2954842447
340	0.2954298683
341	0.2953005966
342	0.2951363842
343	0.2949441015
344	0.2948809977
345	0.2947981487
346	0.29470552
347	0.2945672424
348	0.294501415
349	0.2944271697
350	0.2942919869
351	0.2941308693
352	0.2940004526
353	0.2939338206
354	0.2937795117
355	0.2936881828
356	0.2935959255
357	0.2934850682
358	0.2934045403
359	0.2933319972
360	0.2932518407
361	0.2931732317
362	0.2928976049
363	0.2928161795
364	0.2927397678
365	0.2924902305
366	0.2924057722
367	0.2922805548
368	0.2922241358
369	0.2921294955
370	0.291889057
371	0.2917772403
372	0.291736017
373	0.2916079833
374	0.2914363432
375	0.2911166148
376	0.2910514684
377	0.2908222952
378	0.2907658143
379	0.2906896501
380	0.2906171689
381	0.2904565774
382	0.290389605
383	0.2902706701
384	0.2902048428
385	0.2901220248
386	0.2900513385
387	0.2900026876
388	0.2899413787
389	0.2898939966
390	0.289842777
391	0.2897812824
392	0.2897020544
393	0.2896498444
394	0.2895810769
395	0.2895131761
396	0.2894446871
397	0.2893783646
398	0.2893346035
399	0.2891577641
